subjid,K_L.x,K_S.x,K_L_sd.x,K_S_sd.x,noise_L.x,noise_S.x,rews_L.x,rews_S.x,K_L.y,K_S.y,K_L_sd.y,K_S_sd.y,noise_L.y,noise_S.y,rews_L.y,rews_S.y,K_L,K_W,K_L_sd,K_W_sd,noise_L,noise_W,rews_L,rews_W
24,-5.766228224,8.9460352,0.882952236,0.890647081,-0.42735881,-0.385111639,0.391842635,0.529446463,-2.743514767,9.62849964,0.320022041,0.391657418,1.061642902,0.939834824,0.549392475,0.630340259,-4.298401581,-7.333830564,0.210593865,0.5919501,-0.977848886,-1.056375272,0.199189105,0.126974969
25,-1.175208561,9.199419879,0.142884581,0.209096639,-0.175250442,-0.133003271,0.391842635,0.529446463,-0.703538789,9.504553204,0.145320808,0.210055905,-0.316312701,-0.438120778,0.549392475,0.630340259,-1.665976058,-2.165110271,0.119093241,0.191456457,-0.873559798,-0.952086184,0.199189105,0.126974969
26,-2.782090392,9.799531752,0.15944825,0.223378279,-0.007659646,0.034587525,0.391842635,0.529446463,-1.429858722,10.0905077,0.134059148,0.190276098,-0.143900289,-0.265708366,0.549392475,0.630340259,-1.980191711,-3.475307054,0.151260211,0.207635938,-0.247610087,-0.326136473,0.199189105,0.126974969
27,-4.569812386,11.20546683,0.465764403,0.559259787,0.572912604,0.615159775,0.391842635,0.529446463,-1.732742677,10.99955509,0.220566397,0.345181503,0.668999744,0.547191667,0.549392475,0.630340259,-4.950608176,-4.12582935,0.42303419,0.478503155,0.539689746,0.46116336,0.199189105,0.126974969
28,-4.03183221,10.96277995,0.412502929,0.527442906,0.784487032,0.826734203,0.391842635,0.529446463,-3.960087078,11.70532873,0.593342202,0.707990517,0.774939848,0.653131771,0.549392475,0.630340259,-3.815307872,-5.933823591,0.27070299,0.394212705,0.228689511,0.150163125,0.199189105,0.126974969
29,-5.859436389,7.586363165,0.97983696,0.986953245,-1.012012141,-0.96976497,0.391842635,0.529446463,-5.911514294,8.587034666,1.181960517,1.186219028,-1.052906287,-1.174714364,0.549392475,0.630340259,-7.950524639,-9.361710891,2.04507457,1.235667103,-0.516130953,-0.594657339,0.199189105,0.126974969
30,0.671444489,9.977259386,0.564262709,0.590783992,0.131923846,0.174171017,0.391842635,0.529446463,-6.386201563,8.98992041,1.128353017,1.13443482,0.146402278,0.024594201,0.549392475,0.630340259,-5.829504774,-5.425019952,0.591763819,0.589638265,-1.297117436,-1.375643822,0.199189105,0.126974969
31,-2.012538418,8.605906941,0.158442972,0.230808132,-0.21574302,-0.173495849,0.391842635,0.529446463,-0.996326131,9.141886477,0.174237529,0.234278438,0.241507329,0.119699252,0.549392475,0.630340259,0.056246885,-1.850114523,0.268867385,0.325811094,-0.032808906,-0.111335292,0.199189105,0.126974969
32,-4.247399993,8.913143309,0.302644004,0.339627234,0.192657985,0.234905156,0.391842635,0.529446463,-4.128027789,9.53880278,0.34317434,0.376727329,0.168081801,0.046273724,0.549392475,0.630340259,-5.137373213,-4.382000824,0.44221124,0.45141372,-0.741324268,-0.819850654,0.199189105,0.126974969
33,-7.079163237,6.408739753,1.16895368,1.205190646,0.021207506,-0.095853085,0.477599072,0.699598114,-7.079163237,6.408739753,1.16895368,1.205190646,0.021207506,-0.095853085,0.477599072,0.699598114,-8.789080855,-9.921179664,1.844664943,1.221864623,-0.832769993,-0.911296378,0.199189105,0.126974969
34,0.285950937,9.480074095,0.33396891,0.361969321,-0.266388845,-0.224141674,0.391842635,0.529446463,0.207286609,9.984157054,0.242346477,0.269947608,-0.496218092,-0.618026169,0.549392475,0.630340259,-3.445934948,-3.097678138,0.157709192,0.224928375,-0.330185563,-0.408711948,0.199189105,0.126974969
35,-2.506703883,8.73623581,0.120887346,0.173826057,-0.941090121,-0.89884295,0.391842635,0.529446463,-4.759314467,7.522794097,0.718546495,0.715712531,-0.609174378,-0.730982455,0.549392475,0.630340259,-8.326658464,-9.507014983,1.919340784,1.205188515,-1.188280349,-1.266806735,0.199189105,0.126974969
36,-6.294570186,6.131722772,1.175854755,1.277651853,-0.786245888,-0.743998717,0.391842635,0.529446463,-6.322617282,6.665210103,1.516140385,1.531112623,-0.872720059,-0.994528136,0.549392475,0.630340259,-8.261899263,-9.42341342,1.930624951,1.203958589,-1.172510211,-1.251036597,0.199189105,0.126974969
37,-1.395380761,9.532935884,0.130942615,0.188136969,-0.483887296,-0.441640125,0.391842635,0.529446463,-1.28558299,10.09908889,0.132465777,0.178296491,-0.408628038,-0.530436115,0.549392475,0.630340259,-1.406997359,-2.984965848,0.121322076,0.168779326,-0.796877401,-0.875403787,0.199189105,0.126974969
38,-3.505690651,7.63446342,0.1901399,0.300867829,0.259190362,0.301437533,0.391842635,0.529446463,-5.83843685,8.159224592,1.110542591,1.108766468,0.317884253,0.196076176,0.549392475,0.630340259,-7.179526255,-8.76228923,1.946091076,1.146893796,-0.718677806,-0.797204192,0.199189105,0.126974969
39,-0.91026163,11.18266123,0.133805107,0.18945501,-0.662140086,-0.619892915,0.391842635,0.529446463,-6.666979103,10.03180776,1.051943921,1.078347215,1.026875809,0.905067732,0.549392475,0.630340259,-8.267946687,-9.41364444,1.896088092,1.200167818,-1.190141408,-1.268667794,0.199189105,0.126974969
40,-3.030362661,8.623348922,0.114361532,0.171959966,-0.474711137,-0.432463966,0.391842635,0.529446463,-2.656265682,8.837914191,0.110747148,0.161356966,-0.523820833,-0.64562891,0.549392475,0.630340259,-3.044776355,-4.226599281,0.12882036,0.179209913,-0.374353786,-0.452880172,0.199189105,0.126974969
41,-4.18460491,6.157938333,0.26831436,0.662668286,-0.383338268,-0.341091097,0.391842635,0.529446463,-3.680866439,8.454587091,0.222576961,0.254062978,-0.028166216,-0.149974293,0.549392475,0.630340259,-4.421719059,-5.541113774,0.296128175,0.347151555,0.101079949,0.022553563,0.199189105,0.126974969
